concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
783740,Perindopril 2.5 MG Oral Tablet [PERINDOPRIL TEVA],Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
783741,Perindopril 2.5 MG Oral Tablet [PERINDOPRIL TEVA] Box of 30,Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
783742,Perindopril 2.5 MG Oral Tablet [PERINDOPRIL TEVA] Box of 30 by TEVA,Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
861786,{7 (ramipril 10 MG Oral Tablet) / 7 (ramipril 2.5 MG Oral Capsule) / 21 (ramipril 5 MG Oral Capsule) } Pack,Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
861824,{(ramipril 10 MG Oral Tablet) / (ramipril 2.5 MG Oral Capsule) / (ramipril 5 MG Oral Capsule) } Pack,Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
995165,Lisinopril 5 MG [Lisinopril Puren],Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
995166,Lisinopril 5 MG Oral Tablet [Lisinopril Puren],Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
995167,Lisinopril 5 MG Oral Tablet [Lisinopril Puren] by Puren,Drug,RxNorm Extension,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308216,lisinopril,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308221,lisinopril 40 MG Oral Tablet,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308249,lisinopril 30 MG Oral Tablet [Zestril],Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308250,lisinopril 2.5 MG Oral Tablet,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308251,lisinopril 5 MG Oral Tablet,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308304,lisinopril 10 MG,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308305,lisinopril 2.5 MG,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308306,lisinopril 20 MG,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308307,lisinopril 30 MG,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308308,lisinopril 40 MG,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1308309,lisinopril 5 MG,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1310756,moexipril,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1328713,diltiazem hydrochloride 180 MG / enalapril maleate 5 MG Extended Release Oral Tablet,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1328742,diltiazem hydrochloride 180 MG / enalapril maleate 5 MG Extended Release Oral Tablet [Teczem],Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1331235,quinapril,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1331240,quinapril 10 MG Oral Tablet,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1331241,quinapril 20 MG Oral Tablet,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
1331264,quinapril 10 MG,Drug,RxNorm,standard,C09A_ace_inhibitors_plain,ace_inhibitors,ACE inhibitors,drug
