concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
586811,15 ML Flecainide 10 MG/ML Injection [Tambocor] Box of 5 by Meda,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
587687,Amiodarone 50 MG/ML Injection by TEVA,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
587803,Lidocaine 100 MG/ML Injectable Solution Box of 10,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
588294,Amiodarone 50 MG/ML Injectable Solution by Fresenius,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
588753,3 ML Amiodarone 50 MG/ML Injectable Solution [Cordarone] Box of 6 by Sanofi,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
588926,Amiodarone 50 MG/ML Injection Box of 10 by Mylan,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
589257,Amiodarone Injectable Solution [Amiodarone Omega],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
589350,Amiodarone 50 MG/ML Injection by Hospira,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
589504,5 ML Lidocaine 100 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
589749,Lidocaine 20 MG/ML Injection Box of 10 by Hospira,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
589960,Epinephrine 0.0228 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Xylocaine+Adrenaline] Box of 50,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
590040,5 ML Lidocaine 100 MG/ML Injectable Solution Box of 10,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
590093,Epinephrine 0.0228 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Xylocaine+Adrenaline] Box of 5,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
590314,Epinephrine 0.0228 MG/ML / Lidocaine 20 MG/ML [Xylocaine+Adrenaline],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
590381,Epinephrine 0.0228 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Xylocaine+Adrenaline],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
784718,25 ML Vernakalant 20 MG/ML Injectable Solution [Brinavess] Box of 1 by Cardiome,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
989878,lidocaine,Drug,RxNorm,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
990155,lidocaine 10 MG/ML / phenylbutazone 200 MG/ML Injectable Solution,Drug,RxNorm,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
990243,lidocaine 10 MG/ML,Drug,RxNorm,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
990247,lidocaine 5 MG/ML,Drug,RxNorm,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
990270,lidocaine 3.33 MG/ML,Drug,RxNorm,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
990325,epinephrine 0.125 MG/ML / lidocaine 20 MG/ML Injectable Solution,Drug,RxNorm,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1123815,hydroquinidine; oral,Drug,ATC,classification,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234875,lidocaine 10.7 MG/ML,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234876,lidocaine 10.7 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234877,lidocaine 21.3 MG/ML,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234879,epinephrine 0.005 MG/ML / lidocaine 10.7 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234880,epinephrine 0.005 MG/ML / lidocaine 21.3 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234881,lidocaine / penicillin G Injectable Suspension [Tardocillin],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234882,lidocaine / penicillin G Injectable Suspension [Pendysin],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234883,lidocaine 9 MG/ML / penicillin G 300000 UNT/ML [Tardocillin],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234884,lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234885,lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension [Tardocillin],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234886,lidocaine 25 MG / penicillin G 1200000 UNT [Pendysin],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234887,lidocaine 25 MG / penicillin G 1200000 UNT Injectable Suspension,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1234888,lidocaine 25 MG / penicillin G 1200000 UNT Injectable Suspension [Pendysin],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1235008,dextromethorphan / quinidine Oral Tablet,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1235009,dextromethorphan 20 MG / quinidine 10 MG Oral Tablet,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1236160,4 ML lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1236161,4 ML lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension [Tardocillin],Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1236195,10 ML lidocaine 10.7 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1236238,20 ML epinephrine 0.005 MG/ML / lidocaine 10.7 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1236239,20 ML epinephrine 0.005 MG/ML / lidocaine 21.3 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
1307542,mexiletine,Drug,RxNorm,standard,C01B_antiarrhythmics_class_i_and_iii,amiodarone,Amiodarone,drug
