concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
589498,Salicylic Acid 0.12 MG/MG [Dolo Arthr],Drug,RxNorm Extension,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
701656,chloroxylenol / miconazole / salicylic acid Medicated Shampoo,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
701657,chloroxylenol 10 MG/ML / miconazole nitrate 20 MG/ML / salicylic acid 20 MG/ML Medicated Shampoo,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
701728,salicylic acid 0.018 MG/MG,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
701729,salicylic acid 0.018 MG/MG Topical Gel,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
702097,menthol / panthenol / salicylic acid Topical Solution,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
702098,menthol 3 MG/ML / panthenol 2 MG/ML / salicylic acid 2.5 MG/ML Topical Solution,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
702341,salicylic acid 25 MG/ML Medicated Shampoo,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740109,salicylic acid 0.00001 MG/MG,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740110,salicylic acid 0.00001 MG/MG Topical Gel,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740111,salicylic acid 0.05 MG/ML,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740112,salicylic acid 0.05 MG/ML Topical Solution,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740182,chlorhexidine gluconate 20 MG/ML / ketoconazole 10 MG/ML [Mal-A-Ket Wipes],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740183,chlorhexidine / ketoconazole Medicated Pad [Mal-A-Ket Wipes],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740186,chlorhexidine gluconate 20 MG/ML / ketoconazole 10 MG/ML Medicated Pad [Mal-A-Ket Wipes],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740201,salicylic acid 4.6 MG/ML,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
740202,salicylic acid 4.6 MG/ML Medicated Pad,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741729,salicylic acid / thiosulfate Topical Lotion,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741730,isopropyl alcohol / salicylic acid / thiosulfate Topical Lotion,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741735,salicylic acid / thiosulfate Topical Lotion [Versiclear],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741738,salicylic acid / thiosulfate Topical Lotion [Exoderm],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741739,chloroxylenol / salicylic acid / thiosulfate Medicated Shampoo,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741757,salicylic acid 59 MG/ML,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741758,salicylic acid 59 MG/ML Topical Cream,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741760,salicylic acid 59 MG/ML [Rayasal],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741762,salicylic acid Topical Cream [Rayasal],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
741763,salicylic acid 59 MG/ML Topical Cream [Rayasal],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
745967,salicylic acid 12 MG/ML,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
745968,salicylic acid 12 MG/ML Topical Lotion,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
746957,salicylic acid 0.06 MG/MG [Terasic],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
746959,salicylic acid Topical Gel [Terasic],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
746960,salicylic acid 0.06 MG/MG Topical Gel [Terasic],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
747005,chlorhexidine / salicylic acid Topical Ointment,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
747006,chlorhexidine acetate 0.003 MG/MG / salicylic acid 0.15 MG/MG Topical Ointment,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
747220,salicylic acid 0.12 MG/MG Medicated Patch,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
747440,salicylic acid 60 MG/ML [Salycim],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
747442,salicylic acid Topical Cream [Salycim],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
747443,salicylic acid 60 MG/ML Topical Cream [Salycim],Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
779095,salicylic acid 19.5 MG/ML,Drug,RxNorm,standard,D01_antifungals_for_dermatological_use,antifungals,Antifungals,drug
