concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
746518,colchicine 0.5 MG [Lodoco],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
746521,colchicine Oral Tablet [Lodoco],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
746522,colchicine 0.5 MG Oral Tablet [Lodoco],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782446,febuxostat Oral Tablet [Febuxostat Mylan],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782447,febuxostat 120 MG [Febuxostat Mylan],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782448,febuxostat 120 MG Oral Tablet [Febuxostat Mylan],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782449,febuxostat 120 MG Oral Tablet [Febuxostat Mylan] Box of 84,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782450,febuxostat 120 MG Oral Tablet [Febuxostat Mylan] Box of 84 by Mylan,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782451,febuxostat 80 MG [Febuxostat Mylan],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782452,febuxostat 80 MG Oral Tablet [Febuxostat Mylan],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782453,febuxostat 80 MG Oral Tablet [Febuxostat Mylan] Box of 84,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
782454,febuxostat 80 MG Oral Tablet [Febuxostat Mylan] Box of 84 by Mylan,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783025,lesinurad 200 MG Oral Tablet Box of 30,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783026,lesinurad 200 MG Oral Tablet [Zurampic] Box of 30,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783027,lesinurad 200 MG Oral Tablet [Zurampic] Box of 30 by Gruenenthal,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783260,Rasburicase 1.5 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783261,Rasburicase 1.5 MG/ML Injectable Solution Box of 1,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783262,Rasburicase 1.5 MG/ML Injectable Solution Box of 3,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783263,Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783264,Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec] Box of 1,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
783265,Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec] Box of 3,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784124,1 ML Rasburicase 1.5 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784125,1 ML Rasburicase 1.5 MG/ML Injectable Solution Box of 3,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784126,1 ML Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784127,1 ML Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec] Box of 3,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784128,1 ML Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec] Box of 3 by Sanofi,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784403,5 ML Rasburicase 1.5 MG/ML Injectable Solution,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784404,5 ML Rasburicase 1.5 MG/ML Injectable Solution Box of 1,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784405,5 ML Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784406,5 ML Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec] Box of 1,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
784407,5 ML Rasburicase 1.5 MG/ML Injectable Solution [Fasturtec] Box of 1 by Sanofi,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792391,allopurinol / lesinurad Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792392,allopurinol 300 MG / lesinurad 200 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792394,allopurinol 300 MG / lesinurad 200 MG [Duzallo],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792395,allopurinol / lesinurad Oral Tablet [Duzallo],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792398,allopurinol 300 MG / lesinurad 200 MG Oral Tablet [Duzallo],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792399,allopurinol 200 MG / lesinurad 200 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792400,allopurinol 200 MG / lesinurad 200 MG [Duzallo],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
792401,allopurinol 200 MG / lesinurad 200 MG Oral Tablet [Duzallo],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
954927,colchicine and probenecid; oral,Drug,ATC,classification,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
994535,febuxostat 120 MG Oral Tablet [Adenuric] by Bb Farma,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
994536,febuxostat 80 MG Oral Tablet [Adenuric] by Aaha,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101554,colchicine,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101556,colchicine 0.6 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101557,colchicine 0.5 MG/ML Injectable Solution,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101558,colchicine 1 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101560,allopurinol 100 MG / colchicine 0.5 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101583,colchicine 0.5 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101584,colchicine 0.5 MG/ML,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101585,colchicine 0.54 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101586,colchicine 0.6 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101587,colchicine 0.65 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1101589,colchicine 1 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1151422,probenecid,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1151423,probenecid 500 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1151424,colchicine 0.5 MG / probenecid 500 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1151427,allopurinol 75 MG / probenecid 250 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1151431,probenecid 500 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167322,allopurinol,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167323,allopurinol 100 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167325,allopurinol 300 MG Oral Capsule,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167326,allopurinol 100 MG Oral Tablet [Lopurin],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167327,allopurinol 100 MG Oral Tablet [Zyloprim],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167328,allopurinol 300 MG Oral Tablet [Lopurin],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167329,allopurinol 300 MG Oral Tablet [Zyloprim],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167330,allopurinol 200 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167331,allopurinol 300 MG Extended Release Oral Capsule,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167364,allopurinol 300 MG Extended Release Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167365,allopurinol 500 MG Injection,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167366,allopurinol 500 MG Injection [Aloprim],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1167368,allopurinol 300 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1235107,allopurinol 10 MG Oral Capsule,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1236352,allopurinol 10 MG,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1236493,sulfinpyrazone,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1236494,sulfinpyrazone 100 MG Oral Tablet,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1236495,sulfinpyrazone 200 MG Oral Capsule,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1236500,sulfinpyrazone 100 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1236501,sulfinpyrazone 200 MG,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1304565,rasburicase,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1361345,colchicine 0.12 MG/ML [Gloperba],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1361346,colchicine Oral Solution [Gloperba],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1361349,colchicine 0.12 MG/ML Oral Solution [Gloperba],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1366576,colchicine 0.12 MG/ML,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1366578,colchicine Oral Solution,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1366579,colchicine 0.12 MG/ML Oral Solution,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1525449,allopurinol 200 MG [Zyloprim],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1525450,allopurinol 200 MG Oral Tablet [Zyloprim],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1588700,lesinurad; oral,Drug,ATC,classification,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1718945,pegloticase Injection,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1718946,pegloticase Injection [Krystexxa],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1718947,pegloticase 8 MG/ML Injection,Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1718948,pegloticase 8 MG/ML Injection [Krystexxa],Drug,RxNorm,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1830411,allopurinol 300 MG Oral Tablet Box of 100 by Sandoz,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831475,febuxostat Delayed Release Oral Tablet [FEBURIC],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831476,febuxostat 80 MG Delayed Release Oral Tablet [FEBURIC],Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831477,febuxostat 80 MG Delayed Release Oral Tablet [FEBURIC] Box of 28,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831478,febuxostat 80 MG Delayed Release Oral Tablet [FEBURIC] Box of 28 by SMB,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831479,febuxostat 80 MG Delayed Release Oral Tablet [FEBURIC] Box of 84,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831480,febuxostat 80 MG Delayed Release Oral Tablet [FEBURIC] Box of 84 by SMB,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831481,febuxostat 80 MG Oral Tablet Box of 84 by Eurogenerics,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1831482,febuxostat 120 MG Oral Tablet Box of 84 by Eurogenerics,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1970282,colchicine 0.5 MG Oral Tablet Box of 12 by Ysatfabrik,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1970334,colchicine 0.5 MG Oral Tablet Box of 12,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1970688,allopurinol 100 MG Oral Tablet Box of 50 by Hecgmbh,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1970689,allopurinol 100 MG Oral Tablet Box of 100 by Hecgmbh,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1970690,allopurinol 300 MG Oral Tablet Box of 50 by Hecgmbh,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1970692,allopurinol 300 MG Oral Tablet Box of 100 by Hecgmbh,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1971906,febuxostat 80 MG Delayed Release Oral Tablet Box of 28 by Stada,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1971907,febuxostat 80 MG Delayed Release Oral Tablet Box of 28 by GeneVida,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1971909,febuxostat 80 MG Delayed Release Oral Tablet Box of 84 by Ysatfabrik,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1971910,febuxostat 80 MG Delayed Release Oral Tablet [Adenuric] Box of 28 by PB,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
1971911,febuxostat 80 MG Delayed Release Oral Tablet [Adenuric] Box of 84 by PB,Drug,RxNorm Extension,standard,M04A_antigout_preparations,antigout_medicines,Antigout medicines,drug
