cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,condition
appendicitis,Appendicitis,condition,193238,FALSE,Acute appendicitis with peritoneal abscess,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,196149,FALSE,Acute appendicitis with generalized peritonitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,440448,FALSE,Appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,441604,FALSE,Acute appendicitis without peritonitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,606479,FALSE,Gangrenous appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4048056,FALSE,Healed appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4048522,FALSE,Focal appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4057524,FALSE,Acute appendicitis with peritonitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4097678,FALSE,Amebic appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4106169,FALSE,Retrocecal appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4117866,FALSE,Acute perforated appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4135708,FALSE,Retroileal appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4141626,FALSE,Acute appendicitis with appendix abscess,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4151696,FALSE,Acute obstructive appendicitis with perforation AND peritonitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4168050,FALSE,Complicated appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4175003,FALSE,Suppurative appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4177979,FALSE,Acute obstructive appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4178300,FALSE,Acute gangrenous appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4185984,FALSE,Atypical appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4197798,FALSE,Periappendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4222930,FALSE,Acute fulminating appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4235575,FALSE,Subacute appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4239238,FALSE,Pelvic appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4243357,FALSE,Chronic appendicitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
appendicitis,Appendicitis,condition,4275886,FALSE,Acute gangrenous appendicitis with perforation AND peritonitis,SNOMED,Appendicitis,reviewed_seed,Imported from master codelists,Condition,standard,Appendicitis
