concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
586661,Etidronate 50 MG/ML Injection [Didronel],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
587474,1.7 ML denosumab 70 MG/ML Injection Box of 3,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
588883,denosumab 70 MG/ML Injection Box of 4,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
589328,denosumab 70 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
589414,Etidronate 50 MG/ML Injection [Didronel] by MGI,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
590283,Clodronic Acid 60 MG/ML Injectable Solution [Bonefos] by Bayer,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
590295,denosumab 70 MG/ML Injection Box of 3,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
590303,Etidronate 50 MG/ML Injection,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
590406,1.7 ML denosumab 70 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
590433,1.7 ML denosumab 70 MG/ML Injection Box of 4,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702080,menatetrenone 0.2 MG,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702081,cholecalciferol 1.25 MG / menatetrenone 0.2 MG Oral Capsule,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702318,vosoritide,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702324,vosoritide 0.4 MG,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702326,vosoritide Injection,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702327,vosoritide 0.4 MG Injection,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702329,vosoritide 0.4 MG [Voxzogo],Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702331,vosoritide Injection [Voxzogo],Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702332,vosoritide 0.4 MG Injection [Voxzogo],Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702333,vosoritide 0.56 MG,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702334,vosoritide 0.56 MG Injection,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702335,vosoritide 0.56 MG [Voxzogo],Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702336,vosoritide 0.56 MG Injection [Voxzogo],Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702337,vosoritide 1.2 MG,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702338,vosoritide 1.2 MG Injection,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702339,vosoritide 1.2 MG [Voxzogo],Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
702340,vosoritide 1.2 MG Injection [Voxzogo],Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
715822,ibandronic acid and colecalciferol; systemic,Drug,ATC,classification,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
779405,menatetrenone 0.09 MG,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
779406,cholecalciferol 0.125 MG / menatetrenone 0.09 MG Oral Capsule,Drug,RxNorm,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782289,{4 (Alendronic acid 70 MG Oral Tablet) / 24 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Tablet for Oral Suspension) } Pack [Alendronaat + Calcium/Vitamine D Combi Sandoz] box of 1 by Sandoz,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782295,{6 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Granules for Oral Solution) / 1 (risedronate sodium 35 MG Oral Tablet) } Pack [Actonel] box of 12 by Warner Chilcott,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782353,{4 (Alendronic acid 70 MG Oral Tablet) / 24 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Tablet for Oral Suspension) } Pack box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
