cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,condition
cough,Cough,condition,254761,FALSE,Cough,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,1340293,FALSE,Exacerbation of cough,OMOP Extension,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4000163,FALSE,Cough on exercise,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4009383,FALSE,Cough suppression,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4009942,FALSE,Postural cough,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4021673,FALSE,Unable to cough up sputum,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4023177,FALSE,Able to cough up sputum,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4038519,FALSE,Dry cough,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4048098,FALSE,Cough with fever,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4048218,FALSE,Cough reflex absent,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4048759,FALSE,Brassy cough,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4058584,FALSE,Evening cough,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4059017,FALSE,Productive cough-yellow sputum,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4059020,FALSE,Morning cough,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4060051,FALSE,Productive cough -green sputum,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
cough,Cough,condition,4060224,FALSE,Productive cough -clear sputum,SNOMED,coughCodes,reviewed_seed,Imported from master codelists,Condition,standard,coughCodes
