cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,condition
depression,Depression,condition,374326,FALSE,Arteriosclerotic dementia with depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,377527,FALSE,Presenile dementia with depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,379784,FALSE,Senile dementia with depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,432285,FALSE,Recurrent major depressive episodes,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,432883,FALSE,"Recurrent major depressive episodes, moderate",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,433991,FALSE,Recurrent major depression in remission,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,434911,FALSE,"Recurrent major depressive episodes, severe, with psychosis",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,435220,FALSE,Severe recurrent major depression without psychotic features,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,438406,FALSE,"Severe major depression, single episode, with psychotic features",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,438727,FALSE,Atypical depressive disorder,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,438998,FALSE,"Recurrent major depressive episodes, mild",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,439259,FALSE,"Single major depressive episode, severe, with psychosis",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,440383,FALSE,Depressive disorder,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,441534,FALSE,"Severe major depression, single episode, without psychotic features",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,443864,FALSE,Multi-infarct dementia with depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,607540,FALSE,Treatment resistant depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,607543,FALSE,Persistent depressive disorder,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,762508,FALSE,Maternal postpartum depression care,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,762860,FALSE,Documentation of depression medication action plan,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,1260110,FALSE,Symptomatic depression,LOINC,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,1340305,FALSE,Exacerbation of depressive disorder,OMOP Extension,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,1340392,FALSE,Exacerbation of major depressive disorder,OMOP Extension,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,2106304,FALSE,"Major depressive disorder, mild (MDD)",CPT4,codelist_depression,reviewed_seed,Imported from master codelists,Observation,non-standard,codelist_depression
depression,Depression,condition,2106305,FALSE,"Major depressive disorder, moderate (MDD)",CPT4,codelist_depression,reviewed_seed,Imported from master codelists,Observation,non-standard,codelist_depression
depression,Depression,condition,2106310,FALSE,"Major depressive disorder, severe without psychotic features (MDD)",CPT4,codelist_depression,reviewed_seed,Imported from master codelists,Observation,non-standard,codelist_depression
depression,Depression,condition,2106322,FALSE,"Major depressive disorder, severe with psychotic features (MDD)",CPT4,codelist_depression,reviewed_seed,Imported from master codelists,Observation,non-standard,codelist_depression
depression,Depression,condition,2106326,FALSE,Documentation of new diagnosis of initial or recurrent episode of major depressive disorder (MDD),CPT4,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,2107245,FALSE,Mild to moderate depressive symptoms as categorized by using a standardized depression screening/assessment tool (MDD),CPT4,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,3656234,FALSE,Depressive episode,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,4019705,FALSE,"Primary degenerative dementia of the Alzheimer type, presenile onset, with depression",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4025677,FALSE,Single episode of major depression in full remission,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4029451,FALSE,Pseudo-Cushing's syndrome of depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4031328,FALSE,"Chronic major depressive disorder, single episode",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4034842,FALSE,"Severe recurrent major depression with psychotic features, mood-incongruent",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4049623,FALSE,"Moderate major depression, single episode",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4057218,FALSE,Late onset dysthymia,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4067409,FALSE,"Severe major depression, single episode, with psychotic features, mood-incongruent",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4077577,FALSE,Moderate recurrent major depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4085661,FALSE,Depression worse later in day,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,4092238,FALSE,Depression worse in morning,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Observation,standard,codelist_depression
depression,Depression,condition,4092239,FALSE,Seasonal affective disorder,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4093584,FALSE,"Major depressive disorder, single episode with postpartum onset",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4094358,FALSE,Chronic recurrent major depressive disorder,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4097384,FALSE,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4098302,FALSE,Recurrent depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4102973,FALSE,Postviral depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4103574,FALSE,Chronic depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4114950,FALSE,Endogenous depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4129184,FALSE,Severe postnatal depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4129842,FALSE,Mild postnatal depression,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4131545,FALSE,Depression requiring intervention,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4141292,FALSE,"Severe recurrent major depression with psychotic features, mood-congruent",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4141454,FALSE,Recurrent major depression in partial remission,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4144233,FALSE,"Severe major depression with psychotic features, mood-congruent",SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
depression,Depression,condition,4148630,FALSE,Major depression in partial remission,SNOMED,codelist_depression,reviewed_seed,Imported from master codelists,Condition,standard,codelist_depression
