concept_id,concept_name,domain_id,vocabulary_id,standard_concept,condition,cohort_name,cohort_label,cohort_domain
372900,Drug-induced dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
373139,Syphilitic parkinsonism,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
373185,Drug-induced dyskinesia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
373462,Fragments of torsion dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
374013,Secondary parkinsonism,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
374341,Huntington's chorea,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
375525,Athetoid cerebral palsy,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
375536,Organic writer's cramp,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
375800,Dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
376387,Spasmodic torticollis,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
376969,Orofacial dyskinesia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
378417,Primary torsion dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
381270,Parkinson's disease,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
435802,Blepharospasm,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
443607,Acquired torsion dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
605217,Sporadic infantile bilateral striatal necrosis,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
608033,Progressive supranuclear palsy parkinsonism syndrome,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
608078,Autosomal recessive familial Parkinson disease,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1245413,"IRF2BPL-related regressive neurodevelopmental disorder, dystonia, seizures syndrome",Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1340242,Exacerbation of akathisia,Condition,OMOP Extension,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1340316,Exacerbation of dyskinesia,Condition,OMOP Extension,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1340319,Exacerbation of dystonia,Condition,OMOP Extension,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1340358,Exacerbation of Huntington's chorea,Condition,OMOP Extension,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1340428,Exacerbation of Parkinson's disease,Condition,OMOP Extension,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1340429,Exacerbation of Parkinsonism,Condition,OMOP Extension,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
1450088,Parkinsonism with polyneuropathy,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
3654598,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex",Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
3654953,Toxic dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
3655826,Parkinsonism caused by methanol,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
3655832,Parkinsonism caused by carbon disulfide,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4010823,Tardive dyskinesia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4033869,Angiodyskinesia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4039738,Oral dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043380,Parkinsonism with calcification of basal ganglia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043381,Juvenile onset Huntington's disease,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
