cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,condition
genital_fungal_infection,Genital fungal infection,condition,132553,FALSE,Herpangina,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,260427,FALSE,Common cold,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,380944,FALSE,Adenoviral pharyngoconjunctivitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,1077384,FALSE,Acute nasopharyngitis caused by respiratory syncytial virus,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,1077502,FALSE,Acute upper respiratory infection caused by respiratory syncytial virus,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4030792,FALSE,Parainfluenza virus laryngotracheitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4035987,FALSE,Viral pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4048187,FALSE,Acute herpes simplex pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4048188,FALSE,Chronic pharyngeal candidiasis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4049232,FALSE,Acute herpes zoster pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4049243,FALSE,Chronic fungal laryngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4051492,FALSE,Acute pharyngeal candidiasis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4080451,FALSE,Pharyngeal candidiasis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4080749,FALSE,Classical histoplasmosis nasal ulceration,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4080772,FALSE,Lymphonodular coxsackie pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4085100,FALSE,Viral upper respiratory tract infection,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4090099,FALSE,Tonsillar aspergillosis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4092983,FALSE,Rhinocerebral mucormycosis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4093292,FALSE,Viral pharyngoconjunctivitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4110361,FALSE,Acute viral tonsillitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4110479,FALSE,Recurrent upper respiratory tract infection,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4110512,FALSE,Influenza with pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4112343,FALSE,Acute viral pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4112664,FALSE,Influenza with laryngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4146838,FALSE,Parainfluenza virus laryngotracheobronchitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4150370,FALSE,Respiratory syncytial virus pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4178772,FALSE,Invasive fungal sinusitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4183609,FALSE,Influenzal acute upper respiratory infection,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4193918,FALSE,Parainfluenza virus pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4198240,FALSE,Viral tonsillitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4200018,FALSE,Acute viral laryngotracheitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4218289,FALSE,Respiratory syncytial virus laryngotracheobronchitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4233054,FALSE,Enteroviral lymphonodular pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4244268,FALSE,Parainfluenza virus rhinopharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4301754,FALSE,Adenoviral pharyngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4312196,FALSE,Parainfluenza virus laryngitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4321233,FALSE,Viral epiglottitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4322815,FALSE,Adenoviral laryngotracheobronchitis,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,4333885,FALSE,Human papilloma virus infection of vocal cord,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,36714339,FALSE,Candidiasis of upper respiratory tract co-occurrent with human immunodeficiency virus infection,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
genital_fungal_infection,Genital fungal infection,condition,36715818,FALSE,Pharyngotonsillitis caused by Human herpes simplex virus,SNOMED,upper respiratory tract infection,reviewed_seed,Imported from master codelists,Condition,standard,upper respiratory tract infection
