cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,condition
glaucoma,Glaucoma,condition,432312,FALSE,Chronic angle-closure glaucoma,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,432626,FALSE,Open angle glaucoma due to vascular disorder,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,432908,FALSE,Glaucomatocyclitic crisis,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,433473,FALSE,Steroid-induced glaucoma glaucomatous stage,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,433767,FALSE,Glaucoma of childhood,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,433768,FALSE,Glaucoma with increased episcleral venous pressure,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,434030,FALSE,Phacogenic glaucoma,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,434928,FALSE,Glaucoma due to iris anomaly,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,435262,FALSE,Primary open angle glaucoma,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,435543,FALSE,Primary angle-closure glaucoma,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,436108,FALSE,Acute angle-closure glaucoma,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,436398,FALSE,Glaucoma associated with ocular disorder,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,436687,FALSE,Glaucoma due to anterior segment anomaly,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,436975,FALSE,Pigmentary glaucoma,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
glaucoma,Glaucoma,condition,437269,FALSE,Intermittent angle-closure glaucoma,SNOMED,glaucoma,reviewed_seed,Imported from master codelists,Condition,standard,glaucoma
