concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
741831,semaglutide 0.68 MG/ML,Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
741832,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector",Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
741833,semaglutide 0.68 MG/ML [Ozempic],Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
741834,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
779478,semaglutide 2.68 MG/ML,Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
779479,semaglutide 2.68 MG/ML Pen Injector,Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
779480,semaglutide 2.68 MG/ML [Ozempic],Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
779481,semaglutide 2.68 MG/ML Pen Injector [Ozempic],Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
780248,3 ML semaglutide 2.68 MG/ML Pen Injector,Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
780249,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
793109,exenatide 2.35 MG/ML,Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
793110,exenatide Auto-Injector,Drug,RxNorm,standard,A10BJ_glucagon_like_peptide_1_glp_1_analogues,glp1_receptor_agonists,GLP-1 receptor agonists,drug
