concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
586569,adalimumab 100 MG/ML Injection Box of 2,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
586630,golimumab 100 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
586959,0.5 ML golimumab 100 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587058,ustekinumab 5 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587186,0.4 ML adalimumab 100 MG/ML Injection Box of 4,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587360,adalimumab 100 MG/ML Injection,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587588,abatacept 25 MG/ML Injection Box of 2,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587618,1 ML golimumab 100 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587678,natalizumab 20 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587684,10 ML abatacept 25 MG/ML Injection Box of 3,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587689,ustekinumab 90 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587741,abatacept 25 MG/ML Injection Box of 3,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587747,Methotrexate 10 MG/ML Injection,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587768,Methotrexate Injection [Metoject],Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587859,0.4 ML adalimumab 100 MG/ML Injection Box of 2,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
587987,Muromonab-CD3 1 MG/ML Injection [Orthoclone Okt] by Janssen,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588049,infliximab 100 MG Injection Box of 2,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588109,Methotrexate 25 MG/ML Injection by Pfizer,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588302,Methotrexate 10 MG/ML Injection [Metoject],Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588318,Methotrexate 25 MG/ML Injectable Solution by Pharmascience,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588328,"Lymphocyte Immune Globulin, Anti-Thymocyte Globulin 50 MG/ML Injection [ATGAM] Box of 5 by Pfizer",Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588454,10 ML abatacept 25 MG/ML Injection,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588569,1 ML ustekinumab 90 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
588631,30 ML eculizumab 10 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,L04_immunosuppressants,jak_inhibitors,JAK inhibitors,drug
