concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
588160,Furosemide Injection [Furosemide Special Sdz],Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
701661,spironolactone 20 MG,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
734707,phenobarbital 15 MG / potassium iodide 160 MG / sodium bicarbonate 130 MG / theobromine 160 MG Oral Tablet,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
741913,furosemide Cartridge,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
741914,furosemide 8 MG/ML Cartridge,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
741916,furosemide 8 MG/ML [Furoscix],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
741918,furosemide Cartridge [Furoscix],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
741919,furosemide 8 MG/ML Cartridge [Furoscix],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
742166,10 ML furosemide 8 MG/ML Cartridge,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
742167,10 ML furosemide 8 MG/ML Cartridge [Furoscix],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
782708,Spironolactone 25 MG Oral Tablet [Aldactone] Box of 50 by PI-Pharma,Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
783370,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 30,Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
783371,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 30 by Mylan,Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
783372,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 90,Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
783373,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 90 by Mylan,Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
783374,eplerenone 50 MG Oral Tablet [EPLERENONE MYLAN] Box of 90,Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
783375,eplerenone 50 MG Oral Tablet [EPLERENONE MYLAN] Box of 90 by Mylan,Drug,RxNorm Extension,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
794088,spironolactone 5 MG/ML [Carospir],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
794089,spironolactone Oral Suspension [Carospir],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
794092,spironolactone 5 MG/ML Oral Suspension [Carospir],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904542,triamterene,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904545,triamterene 100 MG Oral Capsule,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904546,triamterene 50 MG Oral Capsule,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904547,hydrochlorothiazide 25 MG / triamterene 50 MG Oral Capsule,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904548,hydrochlorothiazide 50 MG / triamterene 50 MG Oral Tablet,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904549,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Capsule,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904583,triamterene 50 MG Oral Tablet,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904584,triamterene 100 MG Oral Tablet,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904590,triamterene 100 MG,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904592,triamterene 50 MG,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904594,triamterene 25 MG,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904597,hydrochlorothiazide 50 MG / triamterene 75 MG Oral Tablet [Maxzide],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904598,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet [Maxzide],Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
904639,trichlormethiazide,Drug,RxNorm,standard,C03_diuretics,loop_diuretics,Loop diuretics,drug
