cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,condition
mace_or_vte,MACE or VTE,condition,77310,FALSE,Deep vein phlebitis and thrombophlebitis of the leg,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,non-standard,dvt
mace_or_vte,MACE or VTE,condition,193512,FALSE,Embolism and thrombosis of the renal vein,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,199837,FALSE,Portal vein thrombosis,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,435565,FALSE,Embolism and thrombosis of the vena cava,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,435887,FALSE,Antepartum deep vein thrombosis,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,438820,FALSE,Deep venous thrombosis in puerperium,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,439314,FALSE,Thrombophlebitis of the femoral vein,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,440738,FALSE,Phlebitis of the femoral vein,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,440750,FALSE,Thrombophlebitis of deep veins of upper extremities,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,443537,FALSE,Deep venous thrombosis of lower extremity,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,760875,FALSE,Acute deep venous thrombosis of bilateral calves,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,760876,FALSE,Acute deep venous thrombosis of left calf,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,760877,FALSE,Acute deep venous thrombosis of right calf,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,761415,FALSE,Acute deep vein thrombosis of right upper limb following coronary artery bypass graft,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,761416,FALSE,Acute deep vein thrombosis of left upper limb following coronary artery bypass graft,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,761444,FALSE,Acute deep vein thrombosis of bilateral lower limbs following coronary artery bypass graft,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
mace_or_vte,MACE or VTE,condition,761808,FALSE,Thrombophlebitis of deep vein of left upper limb,SNOMED,dvt,reviewed_seed,Imported from master codelists,Condition,standard,dvt
