concept_id,concept_name,domain_id,vocabulary_id,standard_concept,condition,cohort_name,cohort_label,cohort_domain
72413,Nontraumatic rupture of muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
73184,Familial periodic paralysis,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
75356,Congenital anomaly of sternocleidomastoid muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
75804,Congenital myotonic dystrophy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
76508,Infective myositis,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
77653,Traumatic myositis ossificans,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
78149,Congenital hereditary muscular dystrophy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
78236,Muscle atrophy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
79804,Steinert myotonic dystrophy syndrome,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
80399,Hereditary progressive muscular dystrophy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
81400,Neonatal myasthenia gravis,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
81539,Mitochondrial cytopathy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
193830,Third degree perineal laceration,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
194403,Obstructed diaphragmatic hernia,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
195673,Injury of diaphragm with open wound into cavity,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
196159,Old laceration of muscles of pelvic floor,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
196217,Congenital anomaly of diaphragm,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
200143,Diaphragmatic hernia with gangrene,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
201061,Diaphragmatic hernia,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
201157,Injury of diaphragm without open wound into cavity,Condition,SNOMED,non-standard,Myopathy_difference,myopathy,Myopathy,condition
312383,Postpartum cardiomyopathy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
312723,Congenital heart disease,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
315560,Primary endomyocardial fibrosis cardiomyopathy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
316428,Hypertrophic obstructive cardiomyopathy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
318773,Dilated cardiomyopathy secondary to alcohol,Condition,SNOMED,non-standard,Myopathy_difference,myopathy,Myopathy,condition
320746,Cardiomyopathy associated with another disorder,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
321319,Cardiomyopathy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
321320,Myocardial degeneration,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
432250,Infectious disease,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
436546,Strain of subscapularis muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
442180,Congenital anomaly of muscle AND/OR tendon,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
443201,Disuse muscle atrophy,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
444464,Fetal or neonatal effect of chronic maternal circulatory disease,Condition,SNOMED,non-standard,Myopathy_difference,myopathy,Myopathy,condition
759822,Family history of inclusion body myositis,Observation,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760737,Strain of muscle of right forearm,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760738,Strain of muscle of left forearm,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760739,Strain of muscle of right upper arm,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760740,Strain of muscle of right shoulder,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760741,Strain of muscle of left upper arm,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760742,Strain of muscle of left shoulder,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760753,Strain of right trapezius muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760754,Strain of left trapezius muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760768,Strain of muscle of right groin region,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760769,Strain of muscle of left groin region,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760782,Strain of right pectoral muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760801,Strain of flexor muscle of left hip,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760802,Strain of muscle of right hip,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760803,Strain of muscle of left hip,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760804,Strain of muscle of left wrist,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760805,Strain of right quadriceps muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760807,Strain of muscle of right thigh,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760808,Strain of muscle of left thigh,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
760814,Strain of muscle of right wrist,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
761214,Congenital anomaly of right sternocleidomastoid muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
761269,Congenital contracture of right gastrocnemius muscle,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
761404,Atrophy of muscle of bilateral hands,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
761405,Repetitive strain injury of bilateral hands,Condition,SNOMED,non-standard,Myopathy_difference,myopathy,Myopathy,condition
761406,Repetitive strain injury of bilateral forearms,Condition,SNOMED,non-standard,Myopathy_difference,myopathy,Myopathy,condition
761764,Weakness of left facial muscle due to and following non-traumatic intracerebral hemorrhage,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
761826,Atherosclerosis of bypass graft of right lower limb with intermittent claudication,Condition,SNOMED,standard,Myopathy_difference,myopathy,Myopathy,condition
