concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
586624,Adonis vernalis extract / Convallaria majalis extract / Digitalis preparation / Hawthorn preparation / Helleborus niger whole extract / Squill extract Oral Solution [Vernadon],Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
586635,Alprostadil 0.02 MG/ML Injection Box of 3,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
586781,10000 MG bovine cor extract 6 X / crataegus extract 3 X / Gold 15 X / Onopordum extract 0.02 MG/MG / PRIMULA VERIS FLOWER EXTRACT 0.02 MG/MG / Selenicereus grandiflorus stem extract 4 X Oral Solution by Weleda,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
586926,Alprostadil 0.01 MG/ML Injection Box of 50,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
587029,1 ML Alprostadil 0.02 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
587085,Alprostadil 0.01 MG/ML Injection Box of 10,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
587882,bovine cor extract 6 X / crataegus extract 3 X / Gold 15 X / Onopordum extract 0.02 MG/MG / PRIMULA VERIS FLOWER EXTRACT 0.02 MG/MG / Selenicereus grandiflorus stem extract 4 X Oral Solution,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
587904,1 ML Alprostadil 0.01 MG/ML Injection Box of 1,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
588055,Alprostadil 0.0119 MG Injection,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
588313,1 ML Alprostadil 0.02 MG/ML Injection Box of 3,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
588696,1 ML Alprostadil 0.01 MG/ML Injection Box of 20,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
588933,Alprostadil 0.0232 MG Injection,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
589152,Adonis vernalis extract / Convallaria majalis extract / Digitalis preparation / Hawthorn preparation / Helleborus niger whole extract / Squill extract Oral Solution,Drug,RxNorm Extension,standard,C01E_other_cardiac_preparations,organic_nitrates,Organic nitrates for angina,drug
