concept_id,concept_name,domain_id,vocabulary_id,standard_concept,condition,cohort_name,cohort_label,cohort_domain
77365,Disuse osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
80502,Osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
80824,Senile osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
81390,Idiopathic osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760573,Pathological fracture of right tibia due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760578,Pathological fracture of left fibula due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760583,Pathological fracture of right humerus due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760587,Pathological fracture of right humerus due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760588,Pathological fracture of left humerus due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760589,Pathological fracture of right clavicle due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760590,Pathological fracture of left clavicle due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760592,Pathological fracture of right clavicle due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760628,Pathological fracture of left foot due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760633,Pathological fracture of right foot due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760634,Pathological fracture of left foot due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760636,Pathological fracture of right femur due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760637,Pathological fracture of left femur due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760645,Pathological fracture of right femur due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760646,Pathological fracture of left femur due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760647,Pathological fracture of right ankle due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760651,Pathological fracture of right hand due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760652,Pathological fracture of left hand due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760658,Pathological fracture of right ulna due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760659,Pathological fracture of left radius due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760667,Pathological fracture of left scapula due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760691,Pathological fracture of right hip due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760692,Pathological fracture of left hip due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760695,Pathological fracture of proximal end of right femur due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
760696,Pathological fracture of left hip due to secondary osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
761873,Pathological fracture of left tibia due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
764378,Pathological fracture of left ulna due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
765181,Pathological fracture of right fibula due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
765188,Pathological fracture of right foot due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
765191,Pathological fracture of left ankle due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
765192,Pathological fracture of right radius due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
765893,Pathological fracture of left humerus due to osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
1076256,Osteoporosis caused by ionizing radiation,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
1076257,Osteoporosis due to and following radiotherapy,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
1245002,Osteoporotic fracture due to idiopathic osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
1245003,Osteoporosis due to endocrine disorder,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
1245004,Osteoporosis due to chronic kidney disease,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
1245005,Osteoporotic fracture due to postmenopausal osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
1245006,Osteoporotic fracture due to disuse osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4002133,Postoophorectomy osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4003479,Post-surgical malabsorption osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4003481,Vertebral osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4003482,Osteoporotic fracture due to postoophorectomy osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4004622,Idiopathic generalized osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4004623,Localized osteoporosis - Lequesne,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4004624,Post-surgical malabsorption osteoporosis with pathological fracture,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4010333,Postmenopausal osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4031127,Osteoporotic bone marrow defect,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4033089,Drug-induced osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4049167,Posttraumatic osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4067765,Drug-induced osteoporosis with osteoporotic fracture,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4068133,Osteoporotic fracture of thoracic vertebra,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4069524,Osteoporotic fracture of lumbar vertebra,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4069525,Osteoporotic fracture of cervical vertebra,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4069941,Osteoporotic kyphosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4105090,Regional osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4109181,Osteoporosis with pseudoglioma,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4136988,Menopausal osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
4151725,Localized disuse osteoporosis,Condition,SNOMED,standard,Osteoporosis,osteoporosis,Osteoporosis,condition
