concept_id,concept_name,domain_id,vocabulary_id,standard_concept,condition,cohort_name,cohort_label,cohort_domain
22350,Edema of larynx,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
23799,Pharynx or nasopharynx edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
201346,Edema of penis,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
201907,Edema of male genital organs,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
372903,Retinal edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
374950,Edema of eyelid,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
376690,Cerebral edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
377875,Idiopathic corneal edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
380102,Corneal edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
380117,Conjunctival edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
380720,Secondary corneal edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
432791,Angioedema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
433595,Edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
435839,Lymphedema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
436010,Heat edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
436702,Pseudopapilledema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
441564,Optic disc edema associated with retinal disorder,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
761524,Papilledema of right eye,Condition,SNOMED,non-standard,Edema,peripheral_edema,Peripheral oedema,condition
761525,Papilledema of left eye,Condition,SNOMED,non-standard,Edema,peripheral_edema,Peripheral oedema,condition
761570,Microcystic edema of cornea of left eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
761571,Microcystic edema of cornea of right eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
761572,Edema of cornea of bilateral eyes,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
761573,Edema of cornea of right eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
762385,Edema of right eyelid,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
762386,Edema of left eyelid,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
762400,Periorbital edema of right eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
765062,Lymphedema of bilateral upper limbs,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
765087,Edema of cornea of left eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
765506,Periorbital edema of left eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
1340248,Exacerbation of angioedema,Condition,OMOP Extension,standard,Edema,peripheral_edema,Peripheral oedema,condition
1340321,Exacerbation of edema,Condition,OMOP Extension,standard,Edema,peripheral_edema,Peripheral oedema,condition
1340432,Exacerbation of peripheral edema,Condition,OMOP Extension,standard,Edema,peripheral_edema,Peripheral oedema,condition
3043344,Edema [Minimum Data Set],Observation,LOINC,standard,Edema,peripheral_edema,Peripheral oedema,condition
3045290,Edema,Observation,LOINC,standard,Edema,peripheral_edema,Peripheral oedema,condition
3170605,NA,NA,NA,NA,Edema,peripheral_edema,Peripheral oedema,condition
3175599,NA,NA,NA,NA,Edema,peripheral_edema,Peripheral oedema,condition
3654235,Bilateral feet edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3654345,Edema of abdomen,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3655089,Respiratory angioedema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3655098,Angioedema of eyelid,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3655099,Angioedema of lip,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3655137,Acute edema,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3655268,Generalized edema due to fluid overload,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3655493,Edema of esophagus,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3656022,Edema of vocal cord,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3656887,Edema of right orbit,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3656971,Edema of left orbit,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3657020,Edema of right lower eyelid,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3657051,Bilateral edema of orbits,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3657789,Bilateral edema of upper eyelids,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3657790,Bilateral edema of lower eyelids,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3657791,Edema of corneal stroma of right eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
3657792,Edema of corneal stroma of left eye,Condition,SNOMED,standard,Edema,peripheral_edema,Peripheral oedema,condition
