concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
586627,Esomeprazole 0.944 MG/MG Injection,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
587279,lansoprazole 3 MG/ML,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
587523,45 MG Esomeprazole 0.944 MG/MG Injection,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
587909,Omeprazole 20 MG Extended Release Oral Capsule,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
587948,rabeprazole 10 MG Delayed Release Oral Capsule,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
590257,rabeprazole Delayed Release Oral Capsule,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
715768,vonoprazan; oral,Drug,ATC,classification,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
723189,fexuprazan,Drug,ATC,classification,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
723199,ilaprazole,Drug,ATC,classification,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
782772,Esomeprazole 20 MG Delayed Release Oral Capsule [ESOMEPRAZOLE MYLAN] Box of 28,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
782773,Esomeprazole 20 MG Delayed Release Oral Capsule [ESOMEPRAZOLE MYLAN] Box of 28 by Mylan,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
782774,Esomeprazole 40 MG Delayed Release Oral Capsule [ESOMEPRAZOLE MYLAN] Box of 28,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
782775,Esomeprazole 40 MG Delayed Release Oral Capsule [ESOMEPRAZOLE MYLAN] Box of 28 by Mylan,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
783995,pantoprazole Delayed Release Oral Capsule [Pantoprazol Abz],Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
783996,pantoprazole 40 MG Delayed Release Oral Capsule [Pantomed] Box of 28 by Impexeco,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
783997,pantoprazole 40 MG Delayed Release Oral Capsule [Pantomed] Box of 28 by PI-Pharma,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
783998,pantoprazole 40 MG Delayed Release Oral Capsule [Pantomed] Box of 56 by Impexeco,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
783999,pantoprazole 40 MG Delayed Release Oral Capsule [Pantomed] Box of 56 by PI-Pharma,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
784000,pantoprazole 40 MG Delayed Release Oral Capsule [Pantomed] Box of 100 by Impexeco,Drug,RxNorm Extension,standard,A02BC_proton_pump_inhibitors,proton_pump_inhibitors,Proton-pump inhibitors,drug
