concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
715760,ipragliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
715762,sotagliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
715887,ertugliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
723187,enavogliflozin,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
784068,canagliflozin 300 MG Oral Tablet [Invokana] Box of 30 by Mundipharma,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
784069,canagliflozin 300 MG Oral Tablet [Invokana] Box of 90 by Mundipharma,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
784070,canagliflozin 100 MG Oral Tablet [Invokana] Box of 30 by Mundipharma,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
784071,canagliflozin 100 MG Oral Tablet [Invokana] Box of 90 by Mundipharma,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793293,ertugliflozin,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793317,ertugliflozin 5 MG,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793320,ertugliflozin Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793321,ertugliflozin 5 MG Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793323,ertugliflozin 5 MG [Steglatro],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793324,ertugliflozin Oral Tablet [Steglatro],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793327,ertugliflozin 5 MG Oral Tablet [Steglatro],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793328,ertugliflozin 15 MG,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793329,ertugliflozin 15 MG Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793330,ertugliflozin 15 MG [Steglatro],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
793331,ertugliflozin 15 MG Oral Tablet [Steglatro],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
947981,luseogliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
954894,bexagliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1123627,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1123673,canagliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1123740,empagliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1123890,dapagliflozin; oral,Drug,ATC,classification,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201314,bexagliflozin 20 MG,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201315,bexagliflozin 20 MG Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201317,bexagliflozin 20 MG [Brenzavvy],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201320,bexagliflozin Oral Tablet [Brenzavvy],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201321,bexagliflozin 20 MG Oral Tablet [Brenzavvy],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201376,sotagliflozin Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201377,sotagliflozin 200 MG Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201379,sotagliflozin 200 MG [Inpefa],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201382,sotagliflozin Oral Tablet [Inpefa],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201383,sotagliflozin 200 MG Oral Tablet [Inpefa],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201385,sotagliflozin 400 MG Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201386,sotagliflozin 400 MG [Inpefa],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1201387,sotagliflozin 400 MG Oral Tablet [Inpefa],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1301517,bexagliflozin,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1301518,bexagliflozin 15 MG,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1301521,bexagliflozin Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1301522,bexagliflozin 15 MG Oral Tablet,Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1301524,bexagliflozin 15 MG [Bexacat],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1301527,bexagliflozin Oral Tablet [Bexacat],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1301528,bexagliflozin 15 MG Oral Tablet [Bexacat],Drug,RxNorm,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831711,ertugliflozin 5 MG Oral Tablet Box of 98,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831712,ertugliflozin 5 MG Oral Tablet [Steglatro] Box of 28 by MSD,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831713,ertugliflozin 5 MG Oral Tablet [Steglatro] Box of 98,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831714,ertugliflozin 5 MG Oral Tablet [Steglatro] Box of 98 by MSD,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831715,ertugliflozin 15 MG Oral Tablet Box of 98,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831716,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 28 by MSD,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831717,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 98,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1831718,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 98 by MSD,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970879,dapagliflozin 10 MG Delayed Release Oral Tablet Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970880,dapagliflozin 10 MG Delayed Release Oral Tablet [Forxiga] Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970881,dapagliflozin 10 MG Delayed Release Oral Tablet [Forxiga] Box of 10 by Astrazeneca,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970882,dapagliflozin 10 MG Oral Tablet Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970883,dapagliflozin 10 MG Oral Tablet [Forxiga] Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970884,dapagliflozin 10 MG Oral Tablet [Forxiga] Box of 10 by Astrazeneca,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970923,empagliflozin 10 MG Oral Tablet [Jardiance] Box of 100 by Bb Farma,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
1970924,empagliflozin 25 MG Oral Tablet [Jardiance] Box of 100 by Bb Farma,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2043007,ertugliflozin 15 MG Oral Tablet [Steglatro] by MSD,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2043008,ertugliflozin 5 MG Oral Tablet [Steglatro] by MSD,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2912420,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 7,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2912421,ertugliflozin 15 MG Oral Tablet Box of 7,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2912422,ertugliflozin 5 MG Oral Tablet [Steglatro] Box of 7,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2912423,ertugliflozin 5 MG Oral Tablet Box of 7,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2926540,empagliflozin 25 MG Oral Tablet [Jardiance] Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2926541,empagliflozin 25 MG Oral Tablet Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2926542,empagliflozin 10 MG Oral Tablet [Jardiance] Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
2926543,empagliflozin 10 MG Oral Tablet Box of 10,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
21027308,empagliflozin 25 MG Oral Tablet [Jardiance] Box of 28 by Boehringer Ingelheim,Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
21037074,dapagliflozin Oral Tablet [Forxiga],Drug,RxNorm Extension,standard,A10BK_sodium_glucose_co_transporter_2_sglt2_inhibitors,sglt2_inhibitors,SGLT2 inhibitors,drug
