concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
782628,atorvastatin 10 MG Oral Tablet [ATORVASTATINE TEVA SANTE] Box of 100 by Impexeco,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782629,atorvastatin 40 MG Oral Tablet [ATORVASTATINE TEVA SANTE] Box of 100 by Impexeco,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782630,atorvastatin 80 MG Oral Tablet [ATORVASTATINE TEVA SANTE] Box of 100 by Impexeco,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782631,atorvastatin 20 MG Oral Tablet [ATORVASTATINE TEVA SANTE] Box of 100 by Impexeco,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782748,rosuvastatin 15 MG Oral Tablet,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782749,rosuvastatin 15 MG Oral Tablet Box of 30,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782750,rosuvastatin 15 MG Oral Tablet Box of 100,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782751,rosuvastatin 15 MG Oral Tablet [Teva-Rosuvastatin],Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782752,rosuvastatin 15 MG Oral Tablet [Teva-Rosuvastatin] Box of 30,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782753,rosuvastatin 15 MG Oral Tablet [Teva-Rosuvastatin] Box of 30 by TEVA,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782754,rosuvastatin 15 MG Oral Tablet [Teva-Rosuvastatin] Box of 100,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782755,rosuvastatin 15 MG Oral Tablet [Teva-Rosuvastatin] Box of 100 by TEVA,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782756,rosuvastatin 30 MG Oral Tablet,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782757,rosuvastatin 30 MG Oral Tablet Box of 30,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782758,rosuvastatin 30 MG Oral Tablet Box of 100,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782759,rosuvastatin 30 MG Oral Tablet [Teva-Rosuvastatin],Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782760,rosuvastatin 30 MG Oral Tablet [Teva-Rosuvastatin] Box of 30,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782761,rosuvastatin 30 MG Oral Tablet [Teva-Rosuvastatin] Box of 30 by TEVA,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
782762,rosuvastatin 30 MG Oral Tablet [Teva-Rosuvastatin] Box of 100,Drug,RxNorm Extension,standard,C10AA_hmg_co_a_reductase_inhibitors,statins,Statins,drug
