concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
701596,levothyroxine sodium 0.0625 MG/ML,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701597,levothyroxine sodium 0.0625 MG/ML Oral Solution,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701598,levothyroxine sodium 0.0625 MG/ML [Tirosint],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701599,levothyroxine sodium 0.0625 MG/ML Oral Solution [Tirosint],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701600,levothyroxine sodium 0.0375 MG/ML,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701601,levothyroxine sodium 0.0375 MG/ML Oral Solution,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701602,levothyroxine sodium 0.0375 MG/ML [Tirosint],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701603,levothyroxine sodium 0.0375 MG/ML Oral Solution [Tirosint],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701604,levothyroxine sodium 0.044 MG/ML,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701605,levothyroxine sodium 0.044 MG/ML Oral Solution,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701606,levothyroxine sodium 0.044 MG/ML [Tirosint],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701607,levothyroxine sodium 0.044 MG/ML Oral Solution [Tirosint],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701864,levothyroxine sodium 1 MG [ThyroKare],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
701865,levothyroxine sodium 1 MG Oral Tablet [ThyroKare],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
739498,levothyroxine sodium 0.02 MG/ML Oral Solution,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
739500,levothyroxine sodium 0.02 MG/ML [Thyquidity],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
739501,levothyroxine Oral Solution [Thyquidity],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
739504,levothyroxine sodium 0.02 MG/ML Oral Solution [Thyquidity],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
742168,1 ML levothyroxine sodium 0.1 MG/ML Injection,Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746200,thyroid (USP) 120 MG [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746203,thyroid (USP) Oral Tablet [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746204,thyroid (USP) 120 MG Oral Tablet [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746205,thyroid (USP) 15 MG [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746206,thyroid (USP) 15 MG Oral Tablet [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746207,thyroid (USP) 180 MG [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746208,thyroid (USP) 180 MG Oral Tablet [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746209,thyroid (USP) 240 MG [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746210,thyroid (USP) 240 MG Oral Tablet [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
746211,thyroid (USP) 30 MG [Niva Thyroid],Drug,RxNorm,standard,H03A_thyroid_preparations,thyroid_hormones,Thyroid hormones,drug
