concept_id,concept_name,domain_id,vocabulary_id,standard_concept,condition,cohort_name,cohort_label,cohort_domain
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
23237,Acute peptic ulcer with hemorrhage AND obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
23245,Esophageal bleeding,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
24076,Chronic peptic ulcer with hemorrhage AND obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
26441,Bleeding ulcer of esophagus,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
26727,Hematemesis,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
30770,Chronic peptic ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
31335,Acute peptic ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
192671,Gastrointestinal hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
193249,Acute hemorrhagic gastritis,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
193250,Gastric hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
193795,Acute gastric ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
194158,Perinatal gastrointestinal hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
194395,Hemorrhage of large intestine with diverticular disease of large intestine,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
194986,"Acute peptic ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
195845,"Acute gastric ulcer with hemorrhage, with perforation and with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
196442,Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
197018,Chronic gastric ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
197024,Small intestinal hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
197925,Hemorrhage of rectum and anus,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
198467,Acute gastric ulcer with hemorrhage and obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
198801,"Chronic gastric ulcer with hemorrhage, with perforation and with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
199855,Acute gastric ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
201885,Chronic gastric ulcer with hemorrhage and with obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
316457,Mallory-Weiss syndrome,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
433515,Chronic gastrojejunal ulcer with hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
434402,Acute duodenal ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
435855,Acute duodenal ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
436148,Chronic duodenal ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
436729,Chronic gastrojejunal ulcer with hemorrhage and obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
437021,"Acute duodenal ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
437027,Hemorrhagic duodenitis,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
437323,Chronic duodenal ulcer with hemorrhage AND obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
437326,Chronic gastrojejunal ulcer with hemorrhage and with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
438468,Acute gastrojejunal ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
438796,Chronic duodenal ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
440756,"Chronic duodenal ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
441062,Acute duodenal ulcer with hemorrhage AND obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
441063,Acute gastrojejunal ulcer with hemorrhage and obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
441328,Acute gastrojejunal ulcer with hemorrhage and with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
442190,Hemorrhage of colon,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
442314,"Acute gastrojejunal ulcer with hemorrhage, with perforation and with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
443779,"Chronic gastrojejunal ulcer with hemorrhage, with perforation and with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
606751,Erosion of duodenum with hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
607946,Wischnewski spots,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
608968,Bleeding internal hemorrhoid grade III,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
608969,Bleeding internal hemorrhoid grade I,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
608970,Bleeding internal hemorrhoid grade II,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
608971,Bleeding internal hemorrhoid grade IV,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1075402,Rectal hemorrhage caused by drug,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1075403,Rectal hemorrhage caused by apixaban,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1077328,Benign neoplasm of large intestine with hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1077329,Bleeding ulcer of large intestine,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1077330,Bleeding ulcer of mucosa of large intestine,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1077332,Malignant neoplasm of large intestine with hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1340239,Exacerbation of acute hemorrhagic gastritis,Condition,OMOP Extension,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
1450600,Hemorrhagic mucosa of large intestine,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4006994,Acute peptic ulcer with hemorrhage and perforation,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4026112,Rectal hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4027729,Acute duodenal ulcer with hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4031954,Duodenal ulcer with hemorrhage AND perforation,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4035167,Duodenal ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4041707,Gastric ulcer with hemorrhage but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4046500,Acute peptic ulcer with hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4048286,Neonatal rectal hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4048601,Perinatal hematemesis,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4048602,Perinatal rectal hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4048889,Hemorrhagic enteropathy of terminal ileum,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4049270,"Duodenal ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4049466,Gastric ulcer with hemorrhage,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4050203,Intramural esophageal hematoma,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4069838,"Gastric ulcer with hemorrhage, with perforation and with obstruction",Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4071070,Neonatal hematemesis,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4071203,Gastric ulcer with hemorrhage AND perforation but without obstruction,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
4083969,Hematoma of jejunum,Condition,SNOMED,standard,gi hemorrhage,upper_gi_bleeding_or_dyspepsia,Upper GI bleeding or dyspepsia,condition
