concept_id,concept_name,domain_id,vocabulary_id,standard_concept,condition,cohort_name,cohort_label,cohort_domain
77310,Deep vein phlebitis and thrombophlebitis of the leg,Condition,SNOMED,non-standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
193512,Embolism and thrombosis of the renal vein,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
199837,Portal vein thrombosis,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
435565,Embolism and thrombosis of the vena cava,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
435887,Antepartum deep vein thrombosis,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
438820,Deep venous thrombosis in puerperium,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
439314,Thrombophlebitis of the femoral vein,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
440738,Phlebitis of the femoral vein,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
440750,Thrombophlebitis of deep veins of upper extremities,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
443537,Deep venous thrombosis of lower extremity,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
760875,Acute deep venous thrombosis of bilateral calves,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
760876,Acute deep venous thrombosis of left calf,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
760877,Acute deep venous thrombosis of right calf,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761415,Acute deep vein thrombosis of right upper limb following coronary artery bypass graft,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761416,Acute deep vein thrombosis of left upper limb following coronary artery bypass graft,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761444,Acute deep vein thrombosis of bilateral lower limbs following coronary artery bypass graft,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761808,Thrombophlebitis of deep vein of left upper limb,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761809,Thrombophlebitis of deep vein of right upper limb,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761818,Thrombophlebitis of right femoral vein,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761819,Thrombophlebitis of left femoral vein,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761820,Thrombophlebitis of right deep femoral vein,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761821,Thrombophlebitis of left deep femoral vein,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761830,Thrombophlebitis of deep vein of left lower limb,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761831,Thrombophlebitis of deep vein of bilateral lower limbs,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
761832,Thrombophlebitis of deep vein of right lower limb,Condition,SNOMED,standard,dvt,venous_thromboembolism,Venous thromboembolism,condition
